Infinitive,подчини́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подчини́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подчини́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подчиню́сь
2nd Sing,подчини́шься
3rd Sing,подчини́тся
1st Pl,подчини́мся
2nd Pl,подчини́тесь
3rd Pl,подчиня́тся
Past M,подчини́лся
Past F,подчини́лась
Past N,подчини́лось
Past PL,подчини́лись
Imp S,подчини́сь
Imp PL,подчини́тесь
