Infinitive,побеспоко́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,побеспоко́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побеспоко́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побеспоко́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,побеспоко́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,побеспоко́ю
2nd Sing,побеспоко́ишь
3rd Sing,побеспоко́ит
1st Pl,побеспоко́им
2nd Pl,побеспоко́ите
3rd Pl,побеспоко́ят
Past M,побеспоко́ил
Past F,побеспоко́ила
Past N,побеспоко́ило
Past PL,побеспоко́или
Imp S,побеспоко́й
Imp PL,побеспоко́йте
