Infinitive,послу́шать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,послу́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,послу́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,послу́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,послу́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,послу́шаю
2nd Sing,послу́шаешь
3rd Sing,послу́шает
1st Pl,послу́шаем
2nd Pl,послу́шаете
3rd Pl,послу́шают
Past M,послу́шал
Past F,послу́шала
Past N,послу́шало
Past PL,послу́шали
Imp S,послу́шай
Imp PL,послу́шайте
