Infinitive,подвиза́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подвиза́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подвиза́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подвиза́юсь
2nd Sing,подвиза́ешься
3rd Sing,подвиза́ется
1st Pl,подвиза́емся
2nd Pl,подвиза́етесь
3rd Pl,подвиза́ются
Past M,подвиза́лся
Past F,подвиза́лась
Past N,подвиза́лось
Past PL,подвиза́лись
Imp S,подвиза́йся
Imp PL,подвиза́йтесь
