Infinitive,побледне́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побледне́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,побледне́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,побледне́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,побледне́ю
2nd Sing,побледне́ешь
3rd Sing,побледне́ет
1st Pl,побледне́ем
2nd Pl,побледне́ете
3rd Pl,побледне́ют
Past M,побледне́л
Past F,побледне́ла
Past N,побледне́ло
Past PL,побледне́ли
Imp S,побледне́й
Imp PL,побледне́йте
