Infinitive,пока́шливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пока́шливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́шливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пока́шливая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пока́шливав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пока́шливавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пока́шливаю
2nd Sing,пока́шливаешь
3rd Sing,пока́шливает
1st Pl,пока́шливаем
2nd Pl,пока́шливаете
3rd Pl,пока́шливают
Past M,пока́шливал
Past F,пока́шливала
Past N,пока́шливало
Past PL,пока́шливали
Imp S,пока́шливай
Imp PL,пока́шливайте
