Infinitive,поруга́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поруга́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поруга́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поруга́юсь
2nd Sing,поруга́ешься
3rd Sing,поруга́ется
1st Pl,поруга́емся
2nd Pl,поруга́етесь
3rd Pl,поруга́ются
Past M,поруга́лся
Past F,поруга́лась
Past N,поруга́лось
Past PL,поруга́лись
Imp S,поруга́йся
Imp PL,поруга́йтесь
