Infinitive,подобра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подобра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подобра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подберу́сь
2nd Sing,подберёшься
3rd Sing,подберётся
1st Pl,подберёмся
2nd Pl,подберётесь
3rd Pl,подберу́тся
Past M,подобра́лся
Past F,подобрала́сь
Past N,подобрало́сь
Past PL,подобрали́сь
Imp S,подбери́сь
Imp PL,подбери́тесь
