Infinitive,порази́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,порази́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поражённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,порази́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,порази́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поражу́
2nd Sing,порази́шь
3rd Sing,порази́т
1st Pl,порази́м
2nd Pl,порази́те
3rd Pl,поразя́т
Past M,порази́л
Past F,порази́ла
Past N,порази́ло
Past PL,порази́ли
Imp S,порази́
Imp PL,порази́те
