Infinitive,пови́снуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пови́сший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пови́сши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пови́сну
2nd Sing,пови́снешь
3rd Sing,пови́снет
1st Pl,пови́снем
2nd Pl,пови́снете
3rd Pl,пови́снут
Past M,пови́с
Past F,пови́сла
Past N,пови́сло
Past PL,пови́сли
Imp S,пови́сни
Imp PL,пови́сните
