Infinitive,покупа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,покупа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,покупа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покупа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,покупа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покупа́юсь
2nd Sing,покупа́ешься
3rd Sing,покупа́ется
1st Pl,покупа́емся
2nd Pl,покупа́етесь
3rd Pl,покупа́ются
Past M,покупа́лся
Past F,покупа́лась
Past N,покупа́лось
Past PL,покупа́лись
Imp S,покупа́йся
Imp PL,покупа́йтесь
