Infinitive,попро́бовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попро́бовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попро́бованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попро́бовав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попро́бовавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попро́бую
2nd Sing,попро́буешь
3rd Sing,попро́бует
1st Pl,попро́буем
2nd Pl,попро́буете
3rd Pl,попро́буют
Past M,попро́бовал
Past F,попро́бовала
Past N,попро́бовало
Past PL,попро́бовали
Imp S,попро́буй
Imp PL,попро́буйте
