Infinitive,показа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,показа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пока́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,показа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,показа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покажу́
2nd Sing,пока́жешь
3rd Sing,пока́жет
1st Pl,пока́жем
2nd Pl,пока́жете
3rd Pl,пока́жут
Past M,показа́л
Past F,показа́ла
Past N,показа́ло
Past PL,показа́ли
Imp S,покажи́
Imp PL,покажи́те
