Infinitive,пове́ять
Zaliznyak Class,6a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пове́явший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пове́янный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пове́яв
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пове́явши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пове́ю
2nd Sing,пове́ешь
3rd Sing,пове́ет
1st Pl,пове́ем
2nd Pl,пове́ете
3rd Pl,пове́ют
Past M,пове́ял
Past F,пове́яла
Past N,пове́яло
Past PL,пове́яли
Imp S,пове́й
Imp PL,пове́йте
