Infinitive,подтяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подтяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подтяну́сь
2nd Sing,подтя́нешься
3rd Sing,подтя́нется
1st Pl,подтя́немся
2nd Pl,подтя́нетесь
3rd Pl,подтя́нутся
Past M,подтяну́лся
Past F,подтяну́лась
Past N,подтяну́лось
Past PL,подтяну́лись
Imp S,подтяни́сь
Imp PL,подтяни́тесь
