Infinitive,поглоща́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поглоща́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поглоща́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поглоща́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поглоща́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,поглоща́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,поглоща́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,поглоща́ю
2nd Sing,поглоща́ешь
3rd Sing,поглоща́ет
1st Pl,поглоща́ем
2nd Pl,поглоща́ете
3rd Pl,поглоща́ют
Past M,поглоща́л
Past F,поглоща́ла
Past N,поглоща́ло
Past PL,поглоща́ли
Imp S,поглоща́й
Imp PL,поглоща́йте
