Infinitive,попра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попра́влю
2nd Sing,попра́вишь
3rd Sing,попра́вит
1st Pl,попра́вим
2nd Pl,попра́вите
3rd Pl,попра́вят
Past M,попра́вил
Past F,попра́вила
Past N,попра́вило
Past PL,попра́вили
Imp S,попра́вь
Imp PL,попра́вьте
