Infinitive,поу́жинать
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поу́жинавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поу́жинав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поу́жинавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поу́жинаю
2nd Sing,поу́жинаешь
3rd Sing,поу́жинает
1st Pl,поу́жинаем
2nd Pl,поу́жинаете
3rd Pl,поу́жинают
Past M,поу́жинал
Past F,поу́жинала
Past N,поу́жинало
Past PL,поу́жинали
Imp S,поу́жинай
Imp PL,поу́жинайте
