Infinitive,пообща́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пообща́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пообща́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пообща́юсь
2nd Sing,пообща́ешься
3rd Sing,пообща́ется
1st Pl,пообща́емся
2nd Pl,пообща́етесь
3rd Pl,пообща́ются
Past M,пообща́лся
Past F,пообща́лась
Past N,пообща́лось
Past PL,пообща́лись
Imp S,пообща́йся
Imp PL,пообща́йтесь
