Infinitive,поса́пывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поса́пывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поса́пывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поса́пывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поса́пывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,поса́пывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,поса́пываю
2nd Sing,поса́пываешь
3rd Sing,поса́пывает
1st Pl,поса́пываем
2nd Pl,поса́пываете
3rd Pl,поса́пывают
Past M,поса́пывал
Past F,поса́пывала
Past N,поса́пывало
Past PL,поса́пывали
Imp S,поса́пывай
Imp PL,поса́пывайте
