Infinitive,поноси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поноси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поно́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поноси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поноси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поношу́
2nd Sing,поно́сишь
3rd Sing,поно́сит
1st Pl,поно́сим
2nd Pl,поно́сите
3rd Pl,поно́сят
Past M,поноси́л
Past F,поноси́ла
Past N,поноси́ло
Past PL,поноси́ли
Imp S,поноси́
Imp PL,поноси́те
