Infinitive,попла́кать
Zaliznyak Class,6a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,попла́кавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попла́кав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,попла́кавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,попла́чу
2nd Sing,попла́чешь
3rd Sing,попла́чет
1st Pl,попла́чем
2nd Pl,попла́чете
3rd Pl,попла́чут
Past M,попла́кал
Past F,попла́кала
Past N,попла́кало
Past PL,попла́кали
Imp S,попла́чь
Imp PL,попла́чьте
