Infinitive,поми́ловать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поми́ловавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поми́лованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поми́ловав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поми́ловавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поми́лую
2nd Sing,поми́луешь
3rd Sing,поми́лует
1st Pl,поми́луем
2nd Pl,поми́луете
3rd Pl,поми́луют
Past M,поми́ловал
Past F,поми́ловала
Past N,поми́ловало
Past PL,поми́ловали
Imp S,поми́луй
Imp PL,поми́луйте
