Infinitive,поню́хать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,поню́хавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поню́ханный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поню́хав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,поню́хавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поню́хаю
2nd Sing,поню́хаешь
3rd Sing,поню́хает
1st Pl,поню́хаем
2nd Pl,поню́хаете
3rd Pl,поню́хают
Past M,поню́хал
Past F,поню́хала
Past N,поню́хало
Past PL,поню́хали
Imp S,поню́хай
Imp PL,поню́хайте
