Infinitive,подорва́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подорва́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́рванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подорва́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подорва́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подорву́
2nd Sing,подорвёшь
3rd Sing,подорвёт
1st Pl,подорвём
2nd Pl,подорвёте
3rd Pl,подорву́т
Past M,подорва́л
Past F,подорвала́
Past N,подорва́ло
Past PL,подорва́ли
Imp S,подорви́
Imp PL,подорви́те
