Infinitive,погоди́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погоди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погоди́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,погоди́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,погожу́
2nd Sing,погоди́шь
3rd Sing,погоди́т
1st Pl,погоди́м
2nd Pl,погоди́те
3rd Pl,погодя́т
Past M,погоди́л
Past F,погоди́ла
Past N,погоди́ло
Past PL,погоди́ли
Imp S,погоди́
Imp PL,погоди́те
