Infinitive,подо́хнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,подо́хший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́хши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подо́хну
2nd Sing,подо́хнешь
3rd Sing,подо́хнет
1st Pl,подо́хнем
2nd Pl,подо́хнете
3rd Pl,подо́хнут
Past M,подо́х
Past F,подо́хла
Past N,подо́хло
Past PL,подо́хли
Imp S,подо́хни
Imp PL,подо́хните
