Infinitive,повторя́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повторя́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,повторя́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повторя́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,повторя́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повторя́юсь
2nd Sing,повторя́ешься
3rd Sing,повторя́ется
1st Pl,повторя́емся
2nd Pl,повторя́етесь
3rd Pl,повторя́ются
Past M,повторя́лся
Past F,повторя́лась
Past N,повторя́лось
Past PL,повторя́лись
Imp S,повторя́йся
Imp PL,повторя́йтесь
