Infinitive,поздоро́ваться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поздоро́вавшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поздоро́вавшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поздоро́ваюсь
2nd Sing,поздоро́ваешься
3rd Sing,поздоро́вается
1st Pl,поздоро́ваемся
2nd Pl,поздоро́ваетесь
3rd Pl,поздоро́ваются
Past M,поздоро́вался
Past F,поздоро́валась
Past N,поздоро́валось
Past PL,поздоро́вались
Imp S,поздоро́вайся
Imp PL,поздоро́вайтесь
