Infinitive,получи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,получи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,полу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,получи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,получи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,получу́
2nd Sing,полу́чишь
3rd Sing,полу́чит
1st Pl,полу́чим
2nd Pl,полу́чите
3rd Pl,полу́чат
Past M,получи́л
Past F,получи́ла
Past N,получи́ло
Past PL,получи́ли
Imp S,получи́
Imp PL,получи́те
