Infinitive,пова́диться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пова́дившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пова́дившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пова́жусь
2nd Sing,пова́дишься
3rd Sing,пова́дится
1st Pl,пова́димся
2nd Pl,пова́дитесь
3rd Pl,пова́дятся
Past M,пова́дился
Past F,пова́дилась
Past N,пова́дилось
Past PL,пова́дились
Imp S,пова́дься
Imp PL,пова́дьтесь
