Infinitive,поравня́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поравня́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поравня́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,поравня́юсь
2nd Sing,поравня́ешься
3rd Sing,поравня́ется
1st Pl,поравня́емся
2nd Pl,поравня́етесь
3rd Pl,поравня́ются
Past M,поравня́лся
Past F,поравня́лась
Past N,поравня́лось
Past PL,поравня́лись
Imp S,поравня́йся
Imp PL,поравня́йтесь
