Infinitive,позабо́титься
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,позабо́тившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позабо́тившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,позабо́чусь
2nd Sing,позабо́тишься
3rd Sing,позабо́тится
1st Pl,позабо́тимся
2nd Pl,позабо́титесь
3rd Pl,позабо́тятся
Past M,позабо́тился
Past F,позабо́тилась
Past N,позабо́тилось
Past PL,позабо́тились
Imp S,позабо́ться
Imp PL,позабо́тьтесь
