Infinitive,похуде́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,похуде́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похуде́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,похуде́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,похуде́ю
2nd Sing,похуде́ешь
3rd Sing,похуде́ет
1st Pl,похуде́ем
2nd Pl,похуде́ете
3rd Pl,похуде́ют
Past M,похуде́л
Past F,похуде́ла
Past N,похуде́ло
Past PL,похуде́ли
Imp S,похуде́й
Imp PL,похуде́йте
