Infinitive,попере́ть
Zaliznyak Class,9b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попёрший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попёртый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попере́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попёрши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попру́
2nd Sing,попрёшь
3rd Sing,попрёт
1st Pl,попрём
2nd Pl,попрёте
3rd Pl,попру́т
Past M,попёр
Past F,попёрла
Past N,попёрло
Past PL,попёрли
Imp S,попри́
Imp PL,попри́те
