Infinitive,поша́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поша́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поша́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поша́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поша́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поша́тываюсь
2nd Sing,поша́тываешься
3rd Sing,поша́тывается
1st Pl,поша́тываемся
2nd Pl,поша́тываетесь
3rd Pl,поша́тываются
Past M,поша́тывался
Past F,поша́тывалась
Past N,поша́тывалось
Past PL,поша́тывались
Imp S,поша́тывайся
Imp PL,поша́тывайтесь
