Infinitive,побле́скивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,побле́скивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,побле́скивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побле́скивая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,побле́скивав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,побле́скивавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,побле́скиваю
2nd Sing,побле́скиваешь
3rd Sing,побле́скивает
1st Pl,побле́скиваем
2nd Pl,побле́скиваете
3rd Pl,побле́скивают
Past M,побле́скивал
Past F,побле́скивала
Past N,побле́скивало
Past PL,побле́скивали
Imp S,побле́скивай
Imp PL,побле́скивайте
