Infinitive,подорва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подорва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подорва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подорву́сь
2nd Sing,подорвёшься
3rd Sing,подорвётся
1st Pl,подорвёмся
2nd Pl,подорвётесь
3rd Pl,подорву́тся
Past M,подорва́лся
Past F,подорвала́сь
Past N,подорвало́сь
Past PL,подорвали́сь
Imp S,подорви́сь
Imp PL,подорви́тесь
