Infinitive,подтвержда́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подтвержда́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,подтвержда́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подтвержда́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,подтвержда́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подтвержда́юсь
2nd Sing,подтвержда́ешься
3rd Sing,подтвержда́ется
1st Pl,подтвержда́емся
2nd Pl,подтвержда́етесь
3rd Pl,подтвержда́ются
Past M,подтвержда́лся
Past F,подтвержда́лась
Past N,подтвержда́лось
Past PL,подтвержда́лись
Imp S,подтвержда́йся
Imp PL,подтвержда́йтесь
