Infinitive,повтори́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,повтори́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повтори́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,повторю́сь
2nd Sing,повтори́шься
3rd Sing,повтори́тся
1st Pl,повтори́мся
2nd Pl,повтори́тесь
3rd Pl,повторя́тся
Past M,повтори́лся
Past F,повтори́лась
Past N,повтори́лось
Past PL,повтори́лись
Imp S,повтори́сь
Imp PL,повтори́тесь
