Infinitive,поддава́ться
Zaliznyak Class,13b
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поддаю́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поддава́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поддава́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поддава́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поддаю́сь
2nd Sing,поддаёшься
3rd Sing,поддаётся
1st Pl,поддаёмся
2nd Pl,поддаётесь
3rd Pl,поддаю́тся
Past M,поддава́лся
Past F,поддава́лась
Past N,поддава́лось
Past PL,поддава́лись
Imp S,поддава́йся
Imp PL,поддава́йтесь
