Infinitive,подави́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подави́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пода́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подави́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подави́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подавлю́
2nd Sing,пода́вишь
3rd Sing,пода́вит
1st Pl,пода́вим
2nd Pl,пода́вите
3rd Pl,пода́вят
Past M,подави́л
Past F,подави́ла
Past N,подави́ло
Past PL,подави́ли
Imp S,подави́
Imp PL,подави́те
