Infinitive,попали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,попали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,попалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,попали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,попали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,попалю́
2nd Sing,попали́шь
3rd Sing,попали́т
1st Pl,попали́м
2nd Pl,попали́те
3rd Pl,попаля́т
Past M,попали́л
Past F,попали́ла
Past N,попали́ло
Past PL,попали́ли
Imp S,попали́
Imp PL,попали́те
