Infinitive,повяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,повяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,повяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,повяжу́
2nd Sing,повя́жешь
3rd Sing,повя́жет
1st Pl,повя́жем
2nd Pl,повя́жете
3rd Pl,повя́жут
Past M,повяза́л
Past F,повяза́ла
Past N,повяза́ло
Past PL,повяза́ли
Imp S,повяжи́
Imp PL,повяжи́те
