Infinitive,посове́товать
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посове́товавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посове́тованный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посове́товав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посове́товавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посове́тую
2nd Sing,посове́туешь
3rd Sing,посове́тует
1st Pl,посове́туем
2nd Pl,посове́туете
3rd Pl,посове́туют
Past M,посове́товал
Past F,посове́товала
Past N,посове́товало
Past PL,посове́товали
Imp S,посове́туй
Imp PL,посове́туйте
