Infinitive,подсади́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подсади́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подса́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подсади́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подсади́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подсажу́
2nd Sing,подса́дишь
3rd Sing,подса́дит
1st Pl,подса́дим
2nd Pl,подса́дите
3rd Pl,подса́дят
Past M,подсади́л
Past F,подсади́ла
Past N,подсади́ло
Past PL,подсади́ли
Imp S,подсади́
Imp PL,подсади́те
