Infinitive,посуди́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,посуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,посу́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,посуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,посуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,посужу́
2nd Sing,посу́дишь
3rd Sing,посу́дит
1st Pl,посу́дим
2nd Pl,посу́дите
3rd Pl,посу́дят
Past M,посуди́л
Past F,посуди́ла
Past N,посуди́ло
Past PL,посуди́ли
Imp S,посуди́
Imp PL,посуди́те
