Infinitive,погрози́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,погрози́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,погрози́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,погрози́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,погрожу́
2nd Sing,погрози́шь
3rd Sing,погрози́т
1st Pl,погрози́м
2nd Pl,погрози́те
3rd Pl,погрозя́т
Past M,погрози́л
Past F,погрози́ла
Past N,погрози́ло
Past PL,погрози́ли
Imp S,погрози́
Imp PL,погрози́те
