Infinitive,похло́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,похло́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похло́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,похло́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,похло́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,похло́паю
2nd Sing,похло́паешь
3rd Sing,похло́пает
1st Pl,похло́паем
2nd Pl,похло́паете
3rd Pl,похло́пают
Past M,похло́пал
Past F,похло́пала
Past N,похло́пало
Past PL,похло́пали
Imp S,похло́пай
Imp PL,похло́пайте
