Infinitive,побира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,побира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,побира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,побира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,побира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,побира́юсь
2nd Sing,побира́ешься
3rd Sing,побира́ется
1st Pl,побира́емся
2nd Pl,побира́етесь
3rd Pl,побира́ются
Past M,побира́лся
Past F,побира́лась
Past N,побира́лось
Past PL,побира́лись
Imp S,побира́йся
Imp PL,побира́йтесь
