Infinitive,повлия́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,повлия́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повлия́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повлия́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,повлия́ю
2nd Sing,повлия́ешь
3rd Sing,повлия́ет
1st Pl,повлия́ем
2nd Pl,повлия́ете
3rd Pl,повлия́ют
Past M,повлия́л
Past F,повлия́ла
Past N,повлия́ло
Past PL,повлия́ли
Imp S,повлия́й
Imp PL,повлия́йте
