Infinitive,похорони́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,похорони́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,похоро́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,похорони́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,похорони́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,похороню́
2nd Sing,похоро́нишь
3rd Sing,похоро́нит
1st Pl,похоро́ним
2nd Pl,похоро́ните
3rd Pl,похоро́нят
Past M,похорони́л
Past F,похорони́ла
Past N,похорони́ло
Past PL,похорони́ли
Imp S,похорони́
Imp PL,похорони́те
