Infinitive,полиста́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,полиста́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поли́станный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,полиста́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,полиста́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,полиста́ю
2nd Sing,полиста́ешь
3rd Sing,полиста́ет
1st Pl,полиста́ем
2nd Pl,полиста́ете
3rd Pl,полиста́ют
Past M,полиста́л
Past F,полиста́ла
Past N,полиста́ло
Past PL,полиста́ли
Imp S,полиста́й
Imp PL,полиста́йте
