Infinitive,повтори́ть
Zaliznyak Class,4b[⑧]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,повтори́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,повторённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,повто́ренный
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,повтори́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,повтори́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,повторю́
2nd Sing,повтори́шь
3rd Sing,повтори́т
1st Pl,повтори́м
2nd Pl,повтори́те
3rd Pl,повторя́т
Past M,повтори́л
Past F,повтори́ла
Past N,повтори́ло
Past PL,повтори́ли
Imp S,повтори́
Imp PL,повтори́те
