Infinitive,поскака́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поскака́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поскака́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поскака́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поскачу́
2nd Sing,поска́чешь
3rd Sing,поска́чет
1st Pl,поска́чем
2nd Pl,поска́чете
3rd Pl,поска́чут
Past M,поскака́л
Past F,поскака́ла
Past N,поскака́ло
Past PL,поскака́ли
Imp S,поскачи́
Imp PL,поскачи́те
