Infinitive,подобра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подобра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подо́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подобра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подобра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подберу́
2nd Sing,подберёшь
3rd Sing,подберёт
1st Pl,подберём
2nd Pl,подберёте
3rd Pl,подберу́т
Past M,подобра́л
Past F,подобрала́
Past N,подобра́ло
Past PL,подобра́ли
Imp S,подбери́
Imp PL,подбери́те
