Infinitive,подари́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подари́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пода́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подари́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подари́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подарю́
2nd Sing,пода́ришь
3rd Sing,пода́рит
1st Pl,пода́рим
2nd Pl,пода́рите
3rd Pl,пода́рят
Past M,подари́л
Past F,подари́ла
Past N,подари́ло
Past PL,подари́ли
Imp S,подари́
Imp PL,подари́те
