Infinitive,подпо́ртить
Zaliznyak Class,4a[②]
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,подпо́ртивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подпо́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,подпо́ртив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,подпо́ртивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,подпо́рчу
2nd Sing,подпо́ртишь
3rd Sing,подпо́ртит
1st Pl,подпо́ртим
2nd Pl,подпо́ртите
3rd Pl,подпо́ртят
Past M,подпо́ртил
Past F,подпо́ртила
Past N,подпо́ртило
Past PL,подпо́ртили
Imp S,подпо́рти
Imp PL,подпо́ртите
