Infinitive,подиви́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,подиви́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,подиви́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,подивлю́сь
2nd Sing,подиви́шься
3rd Sing,подиви́тся
1st Pl,подиви́мся
2nd Pl,подиви́тесь
3rd Pl,подивя́тся
Past M,подиви́лся
Past F,подиви́лась
Past N,подиви́лось
Past PL,подиви́лись
Imp S,подиви́сь
Imp PL,подиви́тесь
