Infinitive,поде́йствовать
Zaliznyak Class,2a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,поде́йствовавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поде́йствовав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,поде́йствовавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,поде́йствую
2nd Sing,поде́йствуешь
3rd Sing,поде́йствует
1st Pl,поде́йствуем
2nd Pl,поде́йствуете
3rd Pl,поде́йствуют
Past M,поде́йствовал
Past F,поде́йствовала
Past N,поде́йствовало
Past PL,поде́йствовали
Imp S,поде́йствуй
Imp PL,поде́йствуйте
