Infinitive,поощря́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,поощря́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,поощря́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,поощря́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,поощря́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,поощря́юсь
2nd Sing,поощря́ешься
3rd Sing,поощря́ется
1st Pl,поощря́емся
2nd Pl,поощря́етесь
3rd Pl,поощря́ются
Past M,поощря́лся
Past F,поощря́лась
Past N,поощря́лось
Past PL,поощря́лись
Imp S,поощря́йся
Imp PL,поощря́йтесь
