Infinitive,потро́гать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,потро́гавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,потро́ганный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,потро́гав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,потро́гавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,потро́гаю
2nd Sing,потро́гаешь
3rd Sing,потро́гает
1st Pl,потро́гаем
2nd Pl,потро́гаете
3rd Pl,потро́гают
Past M,потро́гал
Past F,потро́гала
Past N,потро́гало
Past PL,потро́гали
Imp S,потро́гай
Imp PL,потро́гайте
