Infinitive,позанима́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,позанима́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,позанима́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,позанима́юсь
2nd Sing,позанима́ешься
3rd Sing,позанима́ется
1st Pl,позанима́емся
2nd Pl,позанима́етесь
3rd Pl,позанима́ются
Past M,позанима́лся
Past F,позанима́лась
Past N,позанима́лось
Past PL,позанима́лись
Imp S,позанима́йся
Imp PL,позанима́йтесь
