Infinitive,покорми́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,покорми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,поко́рмленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,покорми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,покорми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,покормлю́
2nd Sing,поко́рмишь
3rd Sing,поко́рмит
1st Pl,поко́рмим
2nd Pl,поко́рмите
3rd Pl,поко́рмят
Past M,покорми́л
Past F,покорми́ла
Past N,покорми́ло
Past PL,покорми́ли
Imp S,покорми́
Imp PL,покорми́те
